,交易市场,股票名称,股票代码,当前价,涨跌额,涨跌幅%,年初至今,成交量,成交额(元),换手率,市盈率,股息率%,市值(元)
149,US,XPEL INC,XPEL,57.0,-1.7,-2.8961,5.85,148057.0,8472955.0,0.54,29.829,,1574972529.0
150,US,Zalatoris II,XPAX,10.455,,,,,,,61.523,,287004533.0
151,US,XP INC ORD A,XP,23.36,-0.74,-3.0705,-10.4,5279530.0,124471583.0,0.96,16.807,5.411,12836160545.0
152,US,XO集团,XOXO,34.99,,,,,,,72.896,,907047729.0
153,US,Xos,XOS,8.8373,0.0773,0.8824,10.74,13676.0,121409.0,0.18,,0.0,68491355.0
154,US,Intrexon,XON,4.65,,,,,,,,,756474262.0
155,US,标记临床研究,XOMA,25.85,-0.35,-1.3359,39.73,11226.0,293215.0,0.1,,,300765138.0
156,US,埃克森美孚,XOM,120.37,-1.42,-1.17,21.51,21554684.0,2620092810.0,0.54,13.231,3.078,476455824931.0
157,US,希尼亚,XNY,5.15,,,,,,,,,614018128.15
158,US,迅雷,XNET,1.495,-0.035,-2.29,-7.72,48810.0,73265.0,0.08,6.8,,96734141.0
159,US,Xencor,XNCR,20.48,-0.04,-0.1949,-3.53,635130.0,12936271.0,1.04,,,1251743171.0
160,US,Xometry,XMTR,17.36,-0.94,-5.1366,-51.66,1551211.0,27622093.0,3.19,,,843316024.0
161,US,Xilio Therapeutics,XLO,1.18,-0.18,-13.24,114.55,504263.0,624103.0,1.46,,,40678713.0
162,US,XL Fleet,XL,1.14,,,,,,,,1.146,164297555.0
163,US,鑫苑置业,XIN,2.67,-0.11,-3.9568,-1.84,2517.0,6710.0,0.05,,,14520328.0
164,US,Xenia Hotels,XHR,14.85,-0.16,-1.066,9.91,637705.0,9477171.0,0.63,79.101,2.905,1514160603.0
165,US,xG科技,XGTI,0.45,,,,,,,,,8415250.0
166,US,Exagen,XGN,1.48,-0.005,-0.3367,-25.63,20718.0,30850.0,0.12,,,25508911.0
167,US,X4 Pharmaceuticals,XFOR,1.34,0.105,8.5,59.81,5654558.0,7170008.0,3.37,,,225036627.0
168,US,ExcelFin,XFIN,10.98,0.0,0.0,2.52,4.0,,0.0,,,87307832.0
169,US,Xeris Biopharma,XERS,1.91,-0.12,-5.9113,-18.72,2080071.0,4004006.0,1.48,,,268266122.0
170,US,Xenon制药,XENE,41.3,-1.67,-3.8864,-10.33,582422.0,24257433.0,0.77,,,3115361507.0
171,US,Xcel Brands,XELB,0.755,0.0003,0.0398,-41.47,117142.0,91330.0,0.51,,,17487669.0
172,US,Exela Technologies,XELA,2.36,-0.13,-5.2209,-29.76,98832.0,237153.0,1.55,,0.0,15022228.0
173,US,埃克西尔能源,XEL,53.17,-0.32,-0.5982,-13.19,3010402.0,160353261.0,0.54,16.677,3.917,29534355957.0
174,US,Cimarex能源,XEC,87.2,,,,,,,,,8966447518.0
175,US,Exicure,XCUR,0.58,-0.0078,-1.327,-0.05,13028.0,7702.0,0.15,1.637,,5016018.0
176,US,Xcerra,XCRA,14.27,,,,,,,16.034,,783635352.0
177,US,EXCO资源,XCO,0.6355,,,,,,,0.185,,13746419.79
178,US,XBP Europe,XBP,1.61,-0.15,-8.5227,-69.62,6848.0,11784.0,0.02,,,48567424.0
179,US,Xenith银行,XBKS,33.83,,,,,,,37.176,,785391731.88
180,US,XBIOTECH INC,XBITV,14.62,,,,,,,,,638020700.0
181,US,Xbiotech,XBIT,9.25,-0.25,-2.6316,131.25,53865.0,500334.0,0.18,,,281670649.0
182,US,Xenetic Biosciences,XBIO,4.33,-0.0992,-2.2397,25.5,1419.0,6182.0,0.09,,0.0,6671162.0
183,US,Exantas Capital,XAN,4.34,,,,,,,,6.330063462921812,139285031.0
184,US,Exantas Capital Corp.,XAN-C,24.28,,,,,,,,19.6738,116544000.0
185,US,Beyond Air,XAIR,1.44,-0.06,-4.0,-26.53,164769.0,239742.0,0.36,,,66097182.0
186,US,美国钢铁,X,41.33,-0.9,-2.13,-14.95,4331957.0,179958536.0,1.93,10.382,0.471,9291645280.0
187,US,Public Storage Depositary Shares Representing 1/1000th Cumulative Preferred Shares Beneficial Interest Series X,PSA-X,25.0,,,,,,,0.0,5.20208,225000000.0
188,US,Widepoint,WYY,2.24,-0.02,-0.885,-3.45,22325.0,50052.0,0.25,,,19809828.0
189,US,Wytec International,WYTC,4.25,,,,,,,,,
190,US,永利度假村,WYNN,101.18,-3.68,-3.51,11.32,1705705.0,173518460.0,1.52,15.533,0.963,11338921758.0
191,US,Wyndham Destinations,WYND,51.75,,,,,,,,3.0965369262982154,4443497035.0
192,US,温德姆环球,WYN,108.44,,,,,,,13.744,1.4799,11057951100.0
193,US,JM Global Holding Company - Unit,WYIGU,10.0,,,,,,,,,66013720.0
194,US,JM Global Holding Company,WYIG,9.63,,,,,,,,,53922100.0
195,US,惠好,WY,33.24,-0.41,-1.2184,-3.43,3048733.0,101422311.0,0.42,28.906,2.707,24252456715.0
196,US,沃尔弗林集团,WWW,9.12,-0.37,-3.8988,3.5,691019.0,6345141.0,0.86,,4.194,728786824.0
197,US,Westwater Resources,WWR,0.467,-0.013,-2.7083,-17.33,134659.0,63285.0,0.24,,,26669434.0
198,US,世界摔角娱乐,WWE,100.65,,,,,,,49.491,0.427,8370220374.0
199,US,伍德沃德,WWD,146.53,-2.54,-1.7,7.83,578995.0,85139729.0,0.96,30.175,0.61,8835532758.0
200,US,慧俪轻体,WW,1.8,0.04,2.27,-79.43,4320350.0,7492234.0,5.45,,,142568428.0
201,US,维拉美特酒庄,WVVI,4.5103,-0.0569,-1.2458,-15.81,2031.0,9194.0,0.04,,,22391515.0
202,US,Wave Life Sciences,WVE,5.8,-0.2,-3.3333,14.85,647139.0,3770318.0,0.53,,,709248006.0
203,US,TeraWulf,WULF,2.04,-0.1,-4.67,-15.0,9987824.0,20496069.0,3.3,,,616560010.0
204,US,西联汇款,WU,13.19,-0.11,-0.83,12.61,5082051.0,67068019.0,1.49,7.172,7.541,4489444410.0
205,US,韦莱韬悦,WTW,260.31,0.0,0.0,8.27,558076.0,145221656.0,0.55,25.231,1.33,26618721150.0
206,US,Select Water,WTTR,9.2,-0.11,-1.1815,22.2,599443.0,5560716.0,0.5,14.731,2.385,1096062746.0
207,US,Wireless电信,WTT,2.13,,,,,,,13.206,,45573580.0
208,US,沃茨水工业,WTS,200.72,-1.62,-0.8006,-3.48,66961.0,13406853.0,0.2,25.561,0.711,6699630956.0
209,US,Waitr Holdings,WTRH,0.0931,,,,,,,,0.0,19347891.0
210,US,Essential,WTRG,34.36,-0.53,-1.52,-7.2,1470819.0,50738109.0,0.54,18.863,3.405,9398002682.0
211,US,美国水务,WTR,51.94,,,,,,,71.562,1.6715,11210769802.0
212,US,联代科技,WTO,0.2616,-0.0164,-5.8993,-4.87,275316.0,71690.0,2.03,,,3549335.0
213,US,Welsbach Technology,WTMA,10.91,0.08,0.7387,1.54,3311.0,36123.0,0.07,,,48623983.0
214,US,白山保险集团,WTM,1688.8,-12.21,-0.7178,12.28,4535.0,7649900.0,0.18,8.509,0.059,4333009890.0
215,US,W&T海底钻探,WTI,2.6,0.02,0.78,-19.93,2466440.0,6509825.0,1.68,24.479,0.775,381828920.0
216,US,信达金融,WTFC,97.0,-0.59,-0.6046,5.1,444508.0,43025363.0,0.72,9.577,1.684,5962863346.0
217,US,West Bancorporation,WTBA,16.09,0.02,0.12,-23.03,13480.0,216297.0,0.08,11.149,6.223,269106762.0
218,US,WisdomTree,WT,9.05,-0.07,-0.7675,31.13,953296.0,8676460.0,0.63,13.402,1.305,1374275976.0
219,US,西氏,WST,380.0,-7.58,-1.96,7.98,258440.0,98464103.0,0.35,46.879,0.203,27818039460.0
220,US,Whitestone REIT,WSR,10.96,-0.16,-1.4388,-9.66,232496.0,2546469.0,0.47,28.548,4.299,547543856.0
221,US,华斯科B,WSO.B,424.75,,,1.85,,,,31.279,2.91,16776180001.0
222,US,华斯科,WSO,417.71,5.56,1.349,-1.28,280225.0,116855979.0,0.71,30.761,2.98,16498123951.0
223,US,威廉姆斯-索诺玛,WSM,288.85,-5.62,-1.9085,43.79,797796.0,230696849.0,1.24,19.498,1.231,18518827745.0
224,US,万达体育,WSG,2.495,,,,,,,,,345973332.0
225,US,WSFS金融,WSFS,42.75,0.03,0.0702,-6.59,207976.0,8842907.0,0.35,9.543,1.426,2568589504.0
